,PCA,CE,MGA 1,MGA 2,MGA 4,MGA 8,MGA 17,MGA 19,MGA 30
Nuclear,65,0,0,0.473969967,1.029136734,0.863500506,0,0,0.919919287
Battery Storage,65,19.74643639,20.22593314,12.5625459,24.74588605,28.1225757,51.2363613,46.96110073,29.06767764
Hydrogen,65,5.235323303,8.5872874,8.058548769,5.311114515,6.003278109,6.739611359,6.563282885,5.220757833
Coal Steam CCS,67,0,0,0,0,0,0,0,0
Combined Cycle,67,0,0,0,0,0,0,0,0
Combined Cycle CCS,67,0,0,0,0,0,0,0,0
Nuclear,67,0,11.29874138,11.20975683,0,0,1.606905745,1.990264407,0
Battery Storage,67,7.715713464,21.57880748,11.16269723,19.9538541,22.07032589,37.26425755,35.0066494,23.79139953
Hydrogen,67,6.627990454,5.644728708,7.611415835,5.660384216,6.033608951,7.20060107,7.299849536,6.183327932
windlat26.0lon-97.5,65,16,16,16,15.9796712,15.97729181,0,0,15.91027522
windlat27.0lon-99.375,65,0,0,0,0.330468631,0.44401855,0.027443889,0.930623479,0
windlat27.5lon-99.375,65,0,0,2.758261044,15.87354593,15.90920458,0,0,15.92605164
windlat28.0lon-99.375,65,0,0,0,0,0,15.81808987,15.91853221,0
windlat28.5lon-100.0,65,0,0,0,0,0,14.38185844,14.02091835,0
windlat28.5lon-97.5,65,0,0,0,0.896232819,1.074025424,0,0,1.086893548
windlat29.0lon-99.375,65,0,0,0,0.711496906,1.204320236,0,0,1.470389723
windlat29.0lon-96.875,65,11.76282615,0,0,0,0,15.87741692,15.887119,0
windlat29.5lon-98.75,65,0,0,0,14.64512791,15.78305997,0,0,14.15681544
windlat29.5lon-96.25,65,16,16,16,15.97505883,16,0,0,15.94696195
solarlat26.0lon-97.5,65,0,0,0,8.777172977,12.41160836,0,0,9.723856893
solarlat27.0lon-99.375,65,0,0,0,6.594774685,12.08036706,0,0,17.06764124
solarlat27.5lon-99.375,65,0,0,0,4.036696238,2.758979016,0,0,0
solarlat28.0lon-99.375,65,0,0,0,6.779875883,9.168204456,0,0,5.18319643
solarlat28.5lon-100.0,65,0,0,0,0,0,0,0,0
solarlat28.5lon-97.5,65,0,0,0,1.869832814,1.574087594,0,0,0
solarlat29.0lon-99.375,65,0,0,0,0,0,0,0,1.329426958
solarlat29.0lon-96.875,65,0,0,0,1.824949508,0,7.530568588,2.767457505,0
solarlat29.5lon-98.75,65,0,0,0,3.667050926,0,5.222345953,3.597684047,0
solarlat29.5lon-96.25,65,0,0,0,1.461291252,0.396712087,0.820600034,3.391804216,0
windlat29.5lon-103.125,61,0,0,0,0,0,0,0.570758579,0
windlat30.0lon-103.75,61,0,0,0,0,0.613785796,0.708389921,0,0
windlat30.0lon-101.25,61,0,0,0,0.609109985,1.231092267,0,0,1.640276206
windlat30.5lon-103.125,61,0,0,0,0.962816895,0,0.090784314,0.243103481,0
windlat30.5lon-100.625,61,16,16,16,16,16,0,0,16
windlat31.0lon-105.0,61,0,0,0,0,0,0,0,0
windlat31.0lon-102.5,61,0,0,0,0,0,0,0,0
windlat31.5lon-105.625,61,0,0,0,0,0,0.455284691,0.031737676,0.861329576
windlat31.5lon-100.625,61,11.17884973,16,16,16,15.95369521,0,0,16
windlat32.0lon-104.375,61,0,0,0,0,0,0,0,0
windlat32.0lon-99.375,61,16,16,16,15.9461688,16,0,0,16
windlat32.5lon-100.0,61,0,0,0,0.59002699,0,0.998864617,0.283207581,0
solarlat29.5lon-103.125,61,0,0,0,3.388116766,5.482909765,0,0,0
solarlat30.0lon-103.75,61,0,0,0,2.000626187,3.02563121,0,0,0
solarlat30.0lon-101.25,61,0,0,0,3.252468825,0,2.738314457,1.900131761,0
solarlat30.5lon-103.125,61,0,0,0,1.402035283,4.202352171,5.180977405,5.123182848,3.858077357
solarlat30.5lon-100.625,61,0,0,0,0,0,7.275945669,7.771477714,0
solarlat31.0lon-105.0,61,0,0,0,0,0,5.947886519,5.858178233,0
solarlat31.0lon-102.5,61,0,0,0,7.089532446,6.336292548,0,0,4.855252208
solarlat31.5lon-105.625,61,0,0,0,2.850384421,0,0,0,0
solarlat31.5lon-100.625,61,0,0,0,0,0,179.5731763,168.1591832,0
solarlat32.0lon-104.375,61,0,0,0,0,0,4.350117088,3.93862397,0
solarlat32.0lon-99.375,61,86.86997643,5.654735178,59.17582258,131.7433009,138.6891053,0,0,148.2728944
solarlat32.5lon-100.0,61,0,0,0,10.967368,7.269367161,0,0,9.774396606
windlat30.0lon-98.75,64,0,0,0,0,0,15.92406011,15.6605663,0
windlat30.0lon-96.25,64,16,16,16,15.92018252,16,0,0,16
windlat30.5lon-98.125,64,16,0,0,0,0,15.95153235,16,0
windlat31.0lon-100.0,64,16,16,16,0,0,16,16,0
solarlat30.0lon-98.75,64,0,0,0,15.60925033,19.676176,0,0,20.31971941
solarlat30.0lon-96.25,64,0,0,0,1.51958882,2.506776952,0,0,0
solarlat30.5lon-98.125,64,0,0,0,117.7102136,125.3994623,0,0,132.3120166
solarlat31.0lon-100.0,64,246.4163696,57.31542695,0,0,0,503.0318323,499.4872343,0
windlat31.0lon-97.5,63,16,16,16,16,16,0,0,16
windlat31.5lon-98.125,63,16,16,16,0,0,16,15.94203568,0
windlat31.5lon-95.625,63,16,16,16,16,15.84321865,0,0,16
windlat32.0lon-96.875,63,16,16,16,16,15.9640642,0,0,16
windlat32.5lon-97.5,63,16,16,16,0,0,16,16,0
windlat32.5lon-95.0,63,16,16,0,0,0,16,15.94188789,0
windlat33.0lon-97.5,63,0,0,0,0.487083142,0.846284642,0,0,0.778140391
windlat33.5lon-98.75,63,0,0,0,0.410896274,0,1.162513845,0.468879301,0
windlat33.5lon-96.25,63,0,0,0,0,0,13.17640865,13.05872309,0
windlat34.0lon-98.125,63,0,0,0,0,0,0,0.495067437,0
solarlat31.0lon-97.5,63,0,0,0,1.43232296,5.820945242,0,0,4.724951944
solarlat31.5lon-98.125,63,680,371.793508,0,0,0,633.3526354,630.7978748,0
solarlat31.5lon-95.625,63,0,0,0,0,0,2.84701162,2.662379473,0
solarlat32.0lon-96.875,63,0,0,166.4930275,173.374086,165.7046039,0,0,197.6652916
solarlat32.5lon-97.5,63,0,0,0,633.4688949,640.6920426,0,0,607.6131649
solarlat32.5lon-95.0,63,0,0,0,3.486984293,0,3.99240238,6.436686539,0
solarlat33.0lon-98.75,63,0,0,245.4969394,27.58271125,27.92515669,0,0,31.95812017
solarlat33.0lon-96.25,63,0,0,0,6.78187307,5.573821152,10.20149144,9.230605314,0
solarlat33.5lon-97.5,63,0,0,0,26.3977452,18.26173732,0,0,20.74156386
solarlat33.5lon-95.0,63,0,0,0,2.359905888,3.214193888,7.406876941,11.7477349,12.45289039
solarlat34.0lon-98.75,63,0,0,0,4.396082258,4.887026042,0,0,0.97000266
windlat31.5lon-103.125,62,0,0,0,0,0,0,0,0
windlat32.0lon-101.875,62,0,0,0,0.198322687,0.128766002,0,0,0
windlat32.5lon-102.5,62,0,0,0,0,0,11.49777946,10.59202602,0
solarlat31.5lon-103.125,62,0,0,0,3.44949248,3.430110798,0,0,3.40286772
solarlat32.0lon-101.875,62,0,0,0,4.68921832,6.174190493,0,0,6.820652457
solarlat32.5lon-102.5,62,0,0,0,2.981856179,3.461355601,0,0,3.744269515
windlat33.0lon-100.0,60,0,0,0,0.325659398,0,0.288525303,0.463311518,0
windlat33.5lon-101.25,60,0,0,0,0,0,0,0,0
windlat34.0lon-100.625,60,0,0,0,0,0,0.581642139,0.629817366,0.416308203
windlat34.5lon-100.625,60,0,0,0,0.179931949,0.355542088,0,0.53141266,0.139550538
solarlat33.5lon-100.0,60,0,0,0,2.882753379,3.386125818,0,0,4.05433825
solarlat34.5lon-100.0,60,0,0,0,0,0,4.322680752,4.222073671,0
