Year,Scenario,"Biomass Price",Resource,State,County,"USDA Region","County Fips Code",Production,"Production Unit","Production Density","Harvested Acres",Yield,"Yield Unit","Land Area","Resource Category","Resource Form","Resource Type","Land Source",Class,Section,"Forest Region","Diameter Class","Operation Type",Owner,"supply Class",Version
2030,"3% yield inc.",60,Switchgrass,Texas,"Cherokee County","Southern Plains",48073,244,dt,0.23,41,6,dt/ac,1052.91,Agriculture,Herbaceous,Energy,Crop,HERB,PAGR,null,null,null,null,null,null
2030,"3% yield inc.",60,Switchgrass,Texas,"Cherokee County","Southern Plains",48073,298683,dt,283.67,39666,7.53,dt/ac,1052.91,Agriculture,Herbaceous,Energy,Pasture,HERB,PAGR,null,null,null,null,null,null
2030,"3% yield inc.",60,Switchgrass,Texas,"Childress County","Southern Plains",48075,31049,dt,44.58,9667,3.21,dt/ac,696.40002,Agriculture,Herbaceous,Energy,Crop,HERB,PAGR,null,null,null,null,null,null
2030,"3% yield inc.",60,Switchgrass,Texas,"Clay County","Southern Plains",48077,25382,dt,23.31,6793,3.74,dt/ac,1088.72,Agriculture,Herbaceous,Energy,Crop,HERB,PAGR,null,null,null,null,null,null
2030,"3% yield inc.",60,Switchgrass,Texas,"Clay County","Southern Plains",48077,635543,dt,583.75,133815,4.75,dt/ac,1088.72,Agriculture,Herbaceous,Energy,Pasture,HERB,PAGR,null,null,null,null,null,null
2030,"3% yield inc.",60,Switchgrass,Texas,"Cochran County","Southern Plains",48079,44126,dt,56.93,17538,2.52,dt/ac,775.15002,Agriculture,Herbaceous,Energy,Crop,HERB,PAGR,null,null,null,null,null,null
2030,"3% yield inc.",60,Switchgrass,Texas,"Coke County","Southern Plains",48081,3806,dt,4.18,1504,2.53,dt/ac,911.46997,Agriculture,Herbaceous,Energy,Crop,HERB,PAGR,null,null,null,null,null,null
2030,"3% yield inc.",60,Switchgrass,Texas,"Coleman County","Southern Plains",48083,26879,dt,21.3,8192,3.28,dt/ac,1261.95,Agriculture,Herbaceous,Energy,Crop,HERB,PAGR,null,null,null,null,null,null
2030,"3% yield inc.",60,Switchgrass,Texas,"Coleman County","Southern Plains",48083,600878,dt,476.15,143761,4.18,dt/ac,1261.95,Agriculture,Herbaceous,Energy,Pasture,HERB,PAGR,null,null,null,null,null,null
2030,"3% yield inc.",60,Switchgrass,Texas,"Collin County","Southern Plains",48085,50442,dt,59.96,7964,6.33,dt/ac,841.21997,Agriculture,Herbaceous,Energy,Crop,HERB,PAGR,null,null,null,null,null,null
2030,"3% yield inc.",60,Switchgrass,Texas,"Collin County","Southern Plains",48085,293763,dt,349.21,36920,7.96,dt/ac,841.21997,Agriculture,Herbaceous,Energy,Pasture,HERB,PAGR,null,null,null,null,null,null
2030,"3% yield inc.",60,Switchgrass,Texas,"Collingsworth County","Southern Plains",48087,30739,dt,33.47,9631,3.19,dt/ac,918.44,Agriculture,Herbaceous,Energy,Crop,HERB,PAGR,null,null,null,null,null,null
2030,"3% yield inc.",60,Switchgrass,Texas,"Colorado County","Southern Plains",48089,39923,dt,41.58,4563,8.75,dt/ac,960.27002,Agriculture,Herbaceous,Energy,Crop,HERB,PAGR,null,null,null,null,null,null
2030,"3% yield inc.",60,Switchgrass,Texas,"Colorado County","Southern Plains",48089,563621,dt,586.94,66483,8.48,dt/ac,960.27002,Agriculture,Herbaceous,Energy,Pasture,HERB,PAGR,null,null,null,null,null,null
2030,"3% yield inc.",60,Switchgrass,Texas,"Comal County","Southern Plains",48091,1746,dt,3.12,426,4.1,dt/ac,559.47998,Agriculture,Herbaceous,Energy,Crop,HERB,PAGR,null,null,null,null,null,null
2030,"3% yield inc.",60,Switchgrass,Texas,"Comal County","Southern Plains",48091,1547,dt,2.77,294,5.26,dt/ac,559.47998,Agriculture,Herbaceous,Energy,Pasture,HERB,PAGR,null,null,null,null,null,null
2030,"3% yield inc.",60,Switchgrass,Texas,"Comanche County","Southern Plains",48093,10867,dt,11.59,2825,3.85,dt/ac,937.75,Agriculture,Herbaceous,Energy,Crop,HERB,PAGR,null,null,null,null,null,null
2030,"3% yield inc.",60,Switchgrass,Texas,"Comanche County","Southern Plains",48093,176999,dt,188.75,34726,5.1,dt/ac,937.75,Agriculture,Herbaceous,Energy,Pasture,HERB,PAGR,null,null,null,null,null,null
2030,"3% yield inc.",60,Switchgrass,Texas,"Concho County","Southern Plains",48095,25493,dt,25.91,8853,2.88,dt/ac,983.79999,Agriculture,Herbaceous,Energy,Crop,HERB,PAGR,null,null,null,null,null,null
2030,"3% yield inc.",60,Switchgrass,Texas,"Concho County","Southern Plains",48095,291226,dt,296.02,76266,3.82,dt/ac,983.79999,Agriculture,Herbaceous,Energy,Pasture,HERB,PAGR,null,null,null,null,null,null
2030,"3% yield inc.",60,Switchgrass,Texas,"Cooke County","Southern Plains",48097,7867,dt,8.99,1364,5.77,dt/ac,874.76001,Agriculture,Herbaceous,Energy,Crop,HERB,PAGR,null,null,null,null,null,null
2030,"3% yield inc.",60,Switchgrass,Texas,"Cooke County","Southern Plains",48097,543550,dt,621.37,78401,6.93,dt/ac,874.76001,Agriculture,Herbaceous,Energy,Pasture,HERB,PAGR,null,null,null,null,null,null
2030,"3% yield inc.",60,Switchgrass,Texas,"Coryell County","Southern Plains",48099,12663,dt,12.04,2555,4.96,dt/ac,1052.0699,Agriculture,Herbaceous,Energy,Crop,HERB,PAGR,null,null,null,null,null,null
2030,"3% yield inc.",60,Switchgrass,Texas,"Coryell County","Southern Plains",48099,377679,dt,358.99,62308,6.06,dt/ac,1052.0699,Agriculture,Herbaceous,Energy,Pasture,HERB,PAGR,null,null,null,null,null,null
2030,"3% yield inc.",60,Switchgrass,Texas,"Cottle County","Southern Plains",48101,17168,dt,19.06,5692,3.02,dt/ac,900.56,Agriculture,Herbaceous,Energy,Crop,HERB,PAGR,null,null,null,null,null,null
2030,"3% yield inc.",60,Switchgrass,Texas,"Crane County","Southern Plains",48103,46,dt,0.06,23,1.98,dt/ac,785.07001,Agriculture,Herbaceous,Energy,Crop,HERB,PAGR,null,null,null,null,null,null
2030,"3% yield inc.",60,Switchgrass,Texas,"Crockett County","Southern Plains",48105,95,dt,0.03,37,2.59,dt/ac,2807.3301,Agriculture,Herbaceous,Energy,Crop,HERB,PAGR,null,null,null,null,null,null
2030,"3% yield inc.",60,Switchgrass,Texas,"Crosby County","Southern Plains",48107,69329,dt,77.02,23479,2.95,dt/ac,900.20001,Agriculture,Herbaceous,Energy,Crop,HERB,PAGR,null,null,null,null,null,null
2030,"3% yield inc.",60,Switchgrass,Texas,"Culberson County","Southern Plains",48109,597,dt,0.16,303,1.97,dt/ac,3812.8,Agriculture,Herbaceous,Energy,Crop,HERB,PAGR,null,null,null,null,null,null
2030,"3% yield inc.",60,Switchgrass,Texas,"Dallas County","Southern Plains",48113,10602,dt,12.17,1723,6.15,dt/ac,871.28003,Agriculture,Herbaceous,Energy,Crop,HERB,PAGR,null,null,null,null,null,null
2030,"3% yield inc.",60,Switchgrass,Texas,"Dallas County","Southern Plains",48113,78823,dt,90.47,10200,7.73,dt/ac,871.28003,Agriculture,Herbaceous,Energy,Pasture,HERB,PAGR,null,null,null,null,null,null
2030,"3% yield inc.",60,Switchgrass,Texas,"Dawson County","Southern Plains",48115,76626,dt,85.11,33189,2.31,dt/ac,900.31,Agriculture,Herbaceous,Energy,Crop,HERB,PAGR,null,null,null,null,null,null
2030,"3% yield inc.",60,Switchgrass,Texas,"Deaf Smith County","Southern Plains",48117,98470,dt,65.78,35929,2.74,dt/ac,1496.87,Agriculture,Herbaceous,Energy,Crop,HERB,PAGR,null,null,null,null,null,null
2030,"3% yield inc.",60,Switchgrass,Texas,"Delta County","Southern Plains",48119,18719,dt,72.89,3038,6.16,dt/ac,256.82999,Agriculture,Herbaceous,Energy,Crop,HERB,PAGR,null,null,null,null,null,null
2030,"3% yield inc.",60,Switchgrass,Texas,"Delta County","Southern Plains",48119,122668,dt,477.62,14955,8.2,dt/ac,256.82999,Agriculture,Herbaceous,Energy,Pasture,HERB,PAGR,null,null,null,null,null,null
2030,"3% yield inc.",60,Switchgrass,Texas,"Denton County","Southern Plains",48121,31596,dt,35.97,5383,5.87,dt/ac,878.42999,Agriculture,Herbaceous,Energy,Crop,HERB,PAGR,null,null,null,null,null,null
2030,"3% yield inc.",60,Switchgrass,Texas,"Denton County","Southern Plains",48121,391849,dt,446.08,53140,7.37,dt/ac,878.42999,Agriculture,Herbaceous,Energy,Pasture,HERB,PAGR,null,null,null,null,null,null
2030,"3% yield inc.",60,Switchgrass,Texas,"DeWitt County","Southern Plains",48123,2583,dt,2.84,622,4.15,dt/ac,908.97998,Agriculture,Herbaceous,Energy,Crop,HERB,PAGR,null,null,null,null,null,null
2030,"3% yield inc.",60,Switchgrass,Texas,"DeWitt County","Southern Plains",48123,588511,dt,647.44,110273,5.34,dt/ac,908.97998,Agriculture,Herbaceous,Energy,Pasture,HERB,PAGR,null,null,null,null,null,null
2030,"3% yield inc.",60,Switchgrass,Texas,"Dickens County","Southern Plains",48125,12554,dt,13.92,4250,2.95,dt/ac,901.71997,Agriculture,Herbaceous,Energy,Crop,HERB,PAGR,null,null,null,null,null,null
2030,"3% yield inc.",60,Switchgrass,Texas,"Dimmit County","Southern Plains",48127,1323,dt,1,540,2.45,dt/ac,1328.88,Agriculture,Herbaceous,Energy,Crop,HERB,PAGR,null,null,null,null,null,null
2030,"3% yield inc.",60,Switchgrass,Texas,"Donley County","Southern Plains",48129,4778,dt,5.15,1231,3.88,dt/ac,926.89001,Agriculture,Herbaceous,Energy,Crop,HERB,PAGR,null,null,null,null,null,null
2030,"3% yield inc.",60,Switchgrass,Texas,"Eastland County","Southern Plains",48133,6659,dt,7.19,1866,3.57,dt/ac,926.48999,Agriculture,Herbaceous,Energy,Crop,HERB,PAGR,null,null,null,null,null,null
2030,"3% yield inc.",60,Switchgrass,Texas,"Eastland County","Southern Plains",48133,217061,dt,234.28,44948,4.83,dt/ac,926.48999,Agriculture,Herbaceous,Energy,Pasture,HERB,PAGR,null,null,null,null,null,null
2030,"3% yield inc.",60,Switchgrass,Texas,"Ector County","Southern Plains",48135,72,dt,0.08,31,2.29,dt/ac,897.69,Agriculture,Herbaceous,Energy,Crop,HERB,PAGR,null,null,null,null,null,null
2030,"3% yield inc.",60,Switchgrass,Texas,"Edwards County","Southern Plains",48137,115,dt,0.05,37,3.13,dt/ac,2117.8601,Agriculture,Herbaceous,Energy,Crop,HERB,PAGR,null,null,null,null,null,null
2030,"3% yield inc.",60,Switchgrass,Texas,"Ellis County","Southern Plains",48139,67435,dt,72.09,11121,6.06,dt/ac,935.48999,Agriculture,Herbaceous,Energy,Crop,HERB,PAGR,null,null,null,null,null,null
2030,"3% yield inc.",60,Switchgrass,Texas,"Ellis County","Southern Plains",48139,473139,dt,505.77,62182,7.61,dt/ac,935.48999,Agriculture,Herbaceous,Energy,Pasture,HERB,PAGR,null,null,null,null,null,null
2030,"3% yield inc.",60,Switchgrass,Texas,"Erath County","Southern Plains",48143,5730,dt,5.29,1383,4.14,dt/ac,1083.0699,Agriculture,Herbaceous,Energy,Crop,HERB,PAGR,null,null,null,null,null,null
2030,"3% yield inc.",60,Switchgrass,Texas,"Erath County","Southern Plains",48143,215326,dt,198.81,39249,5.49,dt/ac,1083.0699,Agriculture,Herbaceous,Energy,Pasture,HERB,PAGR,null,null,null,null,null,null
2030,"3% yield inc.",60,Switchgrass,Texas,"Falls County","Southern Plains",48145,113099,dt,147.75,16371,6.91,dt/ac,765.47998,Agriculture,Herbaceous,Energy,Crop,HERB,PAGR,null,null,null,null,null,null
2030,"3% yield inc.",60,Switchgrass,Texas,"Falls County","Southern Plains",48145,362014,dt,472.92,49773,7.27,dt/ac,765.47998,Agriculture,Herbaceous,Energy,Pasture,HERB,PAGR,null,null,null,null,null,null
2030,"3% yield inc.",60,Switchgrass,Texas,"Fannin County","Southern Plains",48147,55944,dt,62.8,7756,7.21,dt/ac,890.84003,Agriculture,Herbaceous,Energy,Crop,HERB,PAGR,null,null,null,null,null,null
2030,"3% yield inc.",60,Switchgrass,Texas,"Fannin County","Southern Plains",48147,548425,dt,615.63,66255,8.28,dt/ac,890.84003,Agriculture,Herbaceous,Energy,Pasture,HERB,PAGR,null,null,null,null,null,null
2030,"3% yield inc.",60,Switchgrass,Texas,"Fayette County","Southern Plains",48149,5950,dt,6.26,1002,5.94,dt/ac,950.01001,Agriculture,Herbaceous,Energy,Crop,HERB,PAGR,null,null,null,null,null,null
2030,"3% yield inc.",60,Switchgrass,Texas,"Fayette County","Southern Plains",48149,609987,dt,642.08,81802,7.46,dt/ac,950.01001,Agriculture,Herbaceous,Energy,Pasture,HERB,PAGR,null,null,null,null,null,null
2030,"3% yield inc.",60,Switchgrass,"North Carolina","Chowan County",Appalachian,37041,26639,dt,154.45,3609,7.38,dt/ac,172.47,Agriculture,Herbaceous,Energy,Crop,HERB,PAGR,null,null,null,null,null,null
2030,"3% yield inc.",60,Switchgrass,"North Carolina","Chowan County",Appalachian,37041,121,dt,0.7,16,7.42,dt/ac,172.47,Agriculture,Herbaceous,Energy,Pasture,HERB,PAGR,null,null,null,null,null,null
2030,"3% yield inc.",60,Switchgrass,"North Carolina","Cleveland County",Appalachian,37045,4306,dt,9.28,986,4.37,dt/ac,464.25,Agriculture,Herbaceous,Energy,Crop,HERB,PAGR,null,null,null,null,null,null
2030,"3% yield inc.",60,Switchgrass,"North Carolina","Columbus County",Appalachian,37047,78258,dt,83.49,11593,6.75,dt/ac,937.28998,Agriculture,Herbaceous,Energy,Crop,HERB,PAGR,null,null,null,null,null,null
2030,"3% yield inc.",60,Switchgrass,"North Carolina","Columbus County",Appalachian,37047,21470,dt,22.91,2383,9.01,dt/ac,937.28998,Agriculture,Herbaceous,Energy,Pasture,HERB,PAGR,null,null,null,null,null,null
2030,"3% yield inc.",60,Switchgrass,"North Carolina","Craven County",Appalachian,37049,38062,dt,53.69,5669,6.71,dt/ac,708.96002,Agriculture,Herbaceous,Energy,Crop,HERB,PAGR,null,null,null,null,null,null
2030,"3% yield inc.",60,Switchgrass,"North Carolina","Craven County",Appalachian,37049,4850,dt,6.84,548,8.85,dt/ac,708.96002,Agriculture,Herbaceous,Energy,Pasture,HERB,PAGR,null,null,null,null,null,null
2030,"3% yield inc.",60,Switchgrass,"North Carolina","Cumberland County",Appalachian,37051,28317,dt,43.41,4522,6.26,dt/ac,652.31,Agriculture,Herbaceous,Energy,Crop,HERB,PAGR,null,null,null,null,null,null
2030,"3% yield inc.",60,Switchgrass,"North Carolina","Cumberland County",Appalachian,37051,11719,dt,17.97,1402,8.36,dt/ac,652.31,Agriculture,Herbaceous,Energy,Pasture,HERB,PAGR,null,null,null,null,null,null
2030,"3% yield inc.",60,Switchgrass,"North Carolina","Currituck County",Appalachian,37053,9686,dt,36.99,1915,5.06,dt/ac,261.85001,Agriculture,Herbaceous,Energy,Crop,HERB,PAGR,null,null,null,null,null,null
2030,"3% yield inc.",60,Switchgrass,"North Carolina","Currituck County",Appalachian,37053,34,dt,0.13,5,7.39,dt/ac,261.85001,Agriculture,Herbaceous,Energy,Pasture,HERB,PAGR,null,null,null,null,null,null
2030,"3% yield inc.",60,Switchgrass,"North Carolina","Dare County",Appalachian,37055,2875,dt,7.5,414,6.95,dt/ac,383.42001,Agriculture,Herbaceous,Energy,Crop,HERB,PAGR,null,null,null,null,null,null
2030,"3% yield inc.",60,Switchgrass,"North Carolina","Duplin County",Appalachian,37061,117823,dt,144.35,17139,6.87,dt/ac,816.21997,Agriculture,Herbaceous,Energy,Crop,HERB,PAGR,null,null,null,null,null,null
2030,"3% yield inc.",60,Switchgrass,"North Carolina","Duplin County",Appalachian,37061,33232,dt,40.71,3789,8.77,dt/ac,816.21997,Agriculture,Herbaceous,Energy,Pasture,HERB,PAGR,null,null,null,null,null,null
2030,"3% yield inc.",60,Switchgrass,"North Carolina","Edgecombe County",Appalachian,37065,57339,dt,113.47,9769,5.87,dt/ac,505.34,Agriculture,Herbaceous,Energy,Crop,HERB,PAGR,null,null,null,null,null,null
2030,"3% yield inc.",60,Switchgrass,"North Carolina","Edgecombe County",Appalachian,37065,2975,dt,5.89,502,5.92,dt/ac,505.34,Agriculture,Herbaceous,Energy,Pasture,HERB,PAGR,null,null,null,null,null,null
2030,"3% yield inc.",60,Switchgrass,"North Carolina","Forsyth County",Appalachian,37067,2678,dt,6.56,623,4.3,dt/ac,408.14999,Agriculture,Herbaceous,Energy,Crop,HERB,PAGR,null,null,null,null,null,null
2030,"3% yield inc.",60,Switchgrass,"North Carolina","Gates County",Appalachian,37073,35910,dt,105.48,4781,7.51,dt/ac,340.44,Agriculture,Herbaceous,Energy,Crop,HERB,PAGR,null,null,null,null,null,null
2030,"3% yield inc.",60,Switchgrass,"North Carolina","Gates County",Appalachian,37073,119,dt,0.35,17,7.09,dt/ac,340.44,Agriculture,Herbaceous,Energy,Pasture,HERB,PAGR,null,null,null,null,null,null
2030,"3% yield inc.",60,Switchgrass,"North Carolina","Granville County",Appalachian,37077,6718,dt,12.64,1096,6.13,dt/ac,531.57001,Agriculture,Herbaceous,Energy,Crop,HERB,PAGR,null,null,null,null,null,null
2030,"3% yield inc.",60,Switchgrass,"North Carolina","Greene County",Appalachian,37079,42643,dt,160.35,6607,6.45,dt/ac,265.92999,Agriculture,Herbaceous,Energy,Crop,HERB,PAGR,null,null,null,null,null,null
2030,"3% yield inc.",60,Switchgrass,"North Carolina","Greene County",Appalachian,37079,2541,dt,9.55,295,8.61,dt/ac,265.92999,Agriculture,Herbaceous,Energy,Pasture,HERB,PAGR,null,null,null,null,null,null
2030,"3% yield inc.",60,Switchgrass,"North Carolina","Halifax County",Appalachian,37083,52977,dt,73.16,9277,5.71,dt/ac,724.09003,Agriculture,Herbaceous,Energy,Crop,HERB,PAGR,null,null,null,null,null,null
2030,"3% yield inc.",60,Switchgrass,"North Carolina","Harnett County",Appalachian,37085,34473,dt,57.94,5809,5.93,dt/ac,594.98999,Agriculture,Herbaceous,Energy,Crop,HERB,PAGR,null,null,null,null,null,null
2030,"3% yield inc.",60,Switchgrass,"North Carolina","Harnett County",Appalachian,37085,14080,dt,23.66,1754,8.03,dt/ac,594.98999,Agriculture,Herbaceous,Energy,Pasture,HERB,PAGR,null,null,null,null,null,null
2030,"3% yield inc.",60,Switchgrass,"North Carolina","Hertford County",Appalachian,37091,24969,dt,70.72,4134,6.04,dt/ac,353.06,Agriculture,Herbaceous,Energy,Crop,HERB,PAGR,null,null,null,null,null,null
2030,"3% yield inc.",60,Switchgrass,"North Carolina","Hertford County",Appalachian,37091,45,dt,0.13,7,6.92,dt/ac,353.06,Agriculture,Herbaceous,Energy,Pasture,HERB,PAGR,null,null,null,null,null,null
2030,"3% yield inc.",60,Switchgrass,"North Carolina","Hoke County",Appalachian,37093,21725,dt,55.6,3595,6.04,dt/ac,390.73999,Agriculture,Herbaceous,Energy,Crop,HERB,PAGR,null,null,null,null,null,null
2030,"3% yield inc.",60,Switchgrass,"North Carolina","Hoke County",Appalachian,37093,399,dt,1.02,59,6.72,dt/ac,390.73999,Agriculture,Herbaceous,Energy,Pasture,HERB,PAGR,null,null,null,null,null,null
2030,"3% yield inc.",60,Switchgrass,"North Carolina","Hyde County",Appalachian,37095,57,dt,0.09,10,5.82,dt/ac,612.70001,Agriculture,Herbaceous,Energy,Pasture,HERB,PAGR,null,null,null,null,null,null
2030,"3% yield inc.",60,Switchgrass,"North Carolina","Johnston County",Appalachian,37101,54251,dt,68.56,8746,6.2,dt/ac,791.29999,Agriculture,Herbaceous,Energy,Crop,HERB,PAGR,null,null,null,null,null,null
2030,"3% yield inc.",60,Switchgrass,"North Carolina","Johnston County",Appalachian,37101,32787,dt,41.43,4063,8.07,dt/ac,791.29999,Agriculture,Herbaceous,Energy,Pasture,HERB,PAGR,null,null,null,null,null,null
2030,"3% yield inc.",60,Switchgrass,"North Carolina","Jones County",Appalachian,37103,35929,dt,76.33,5249,6.84,dt/ac,470.70999,Agriculture,Herbaceous,Energy,Crop,HERB,PAGR,null,null,null,null,null,null
2030,"3% yield inc.",60,Switchgrass,"North Carolina","Jones County",Appalachian,37103,3536,dt,7.51,412,8.58,dt/ac,470.70999,Agriculture,Herbaceous,Energy,Pasture,HERB,PAGR,null,null,null,null,null,null
