,Plant Name,UniqueID_Final,ORIS Plant Code,Boiler/Generator/Committed Unit,Unit ID,CAMD Database UnitID,PlantType,Combustion Turbine/IC Engine,Region Name,State Name,State Code,County,County Code,FIPS5,Capacity (MW),Heat Rate (Btu/kWh),On Line Year,Retirement Year,Firing,Bottom,Cogen?,Modeled Fuels,Wet/DryScrubber,Scrubber_Online_Year,Scrubber Efficiency,NOx Comb Control,NOx Post-Comb Control,SCR_Online_Year,SNCR_Online_Year,PM Control,FlueGasConditioning_Flag,Mercury_Controls,ACI_Online_Year,Mercury_Controls Efficiency,SO2 Permit Rate (lbs/mmBtu),Mode 1 NOx Rate (lbs/mmBtu),Mode 2 NOx Rate (lbs/mmBtu),Mode 3 NOx Rate  (lbs/mmBtu),Mode 4 NOx Rate  (lbs/mmBtu),Hg EMF for BIT,Hg EMF for SUB,Hg EMF for LIG,HCL Removal,DSI Unit,DSI Online Year,CCS,CCS Removal,C2G,C2G Online Year,BART Affected Unit,FuelType,Plant Code_x,Latitude,Longitude,Plant Code_y,Generator ID,Nameplate Energy Capacity (MWh),Maximum Charge Rate (MW),Maximum Discharge Rate (MW),Technology,Efficiency,Minimum Energy Capacity (MWh),FuelPrice($/MMBtu),CO2EmRate(lb/MMBtu),geometry,index_right,OBJECTID,PCA_REG,Shape_Leng,Shape_Area,PCA_Code,RTO_Code,region,FuelType2,hrGroup,MinDownTime(hrs),RampRate(MW/hr),StartCost($),MinLoad(MWh),RandOpCostAdder($/MWh),FOM(2012$/MW/yr),VOM(2012$/MWh),OpCost($/MWh),RegOfferElig,RegOfferCost($/MW),FlexOfferElig,ContOfferElig,YearAddedCE,Retired,YearRetiredByCE,YearRetiredByAge,GAMS Symbol,DataSource,ATBTechnologyType,ThermalOrRenewableOrStorage,CAPEX(2012$/MW),NSPSCompliant,NOxEmRate(lb/MMBtu),SO2EmRate(lb/MMBtu),Lifetime(years),SO2 Scrubber,CoalType,ECAPEX(2012$/MWH),PlantCategory,Max Zonal Cap,Variable Weight
11,Spinning Spur Wind III,58775_G_GEN1,58775,G,GEN1,,Onshore Wind,,ERC_PHDL,Texas,48.0,Oldham,359.0,48359.0,194.0,0.0,2015.0,9999.0,,,N,Wind,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,,,,,,,,,,,,Wind,58775.0,35.295,-102.721111,,,,,,,,,0.0,0.0,POINT (-102.721111 35.295),47.0,48.0,48.0,15.9627257016,8.88067499736,p48,rto8,p60,Wind,,0.0,194.0,19.8054246331703,0.0,0.0,39550.0,0.0,0.0,0,0.0,0,0,0,False,False,False,58775+GEN1,,,,,,,,,,,,,,
12,Mariah del Norte,59005_G_MAR1,59005,G,MAR1,,Onshore Wind,,ERC_PHDL,Texas,48.0,Parmer,369.0,48369.0,230.4,0.0,2016.0,9999.0,,,N,Wind,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,,,,,,,,,,,,Wind,59005.0,34.6675,-102.577778,,,,,,,,,0.0,0.0,POINT (-102.577778 34.6675),47.0,48.0,48.0,15.9627257016,8.88067499736,p48,rto8,p60,Wind,,0.0,230.4,23.521493997332147,0.0,0.0,39550.0,0.0,0.0,0,0.0,0,0,0,False,False,False,59005+MAR1,,,,,,,,,,,,,,
13,"Colbec's Corner, LLC",59068_G_GVII,59068,G,GVII,,Onshore Wind,,ERC_PHDL,Texas,48.0,Carson,65.0,48065.0,200.0,0.0,2016.0,9999.0,,,N,Wind,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,,,,,,,,,,,,Wind,59068.0,35.254184,-101.186622,,,,,,,,,0.0,0.0,POINT (-101.186622 35.254184),47.0,48.0,48.0,15.9627257016,8.88067499736,p48,rto8,p60,Wind,,0.0,200.0,20.417963539350822,0.0,0.0,39550.0,0.0,0.0,0,0.0,0,0,0,False,False,False,59068+GVII,,,,,,,,,,,,,,
14,South Plains Wind Phase I,59384_G_1,59384,G,1,,Onshore Wind,,ERC_PHDL,Texas,48.0,Floyd,153.0,48153.0,200.0,0.0,2015.0,9999.0,,,N,Wind,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,,,,,,,,,,,,Wind,59384.0,34.080556,-101.323611,,,,,,,,,0.0,0.0,POINT (-101.323611 34.080556),47.0,48.0,48.0,15.9627257016,8.88067499736,p48,rto8,p60,Wind,,0.0,200.0,20.417963539350822,0.0,0.0,39550.0,0.0,0.0,0,0.0,0,0,0,False,False,False,59384+1,,,,,,,,,,,,,,
15,TX Jumbo Road Wind,59621_G_JRWND,59621,G,JRWND,,Onshore Wind,,ERC_PHDL,Texas,48.0,Deaf Smith,117.0,48117.0,299.7,0.0,2015.0,9999.0,,,N,Wind,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,,,,,,,,,,,,Wind,59621.0,34.72,-102.253333,,,,,,,,,0.0,0.0,POINT (-102.253333 34.72),47.0,48.0,48.0,15.9627257016,8.88067499736,p48,rto8,p60,Wind,,0.0,299.7,30.596318363717202,0.0,0.0,39550.0,0.0,0.0,0,0.0,0,0,0,False,False,False,59621+JRWND,,,,,,,,,,,,,,
16,South Plains II,60087_G_SPII,60087,G,SPII,,Onshore Wind,,ERC_PHDL,Texas,48.0,Floyd,153.0,48153.0,300.0,0.0,2016.0,9999.0,,,N,Wind,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,,,,,,,,,,,,Wind,60087.0,34.196962,-101.381494,,,,,,,,,0.0,0.0,POINT (-101.381494 34.196962),47.0,48.0,48.0,15.9627257016,8.88067499736,p48,rto8,p60,Wind,,0.0,300.0,30.626945309026233,0.0,0.0,39550.0,0.0,0.0,0,0.0,0,0,0,False,False,False,60087+SPII,,,,,,,,,,,,,,
17,Cotton Plains Wind Farm,60210_G_CPWF,60210,G,CPWF,,Onshore Wind,,ERC_PHDL,Texas,48.0,Floyd,153.0,48153.0,50.4,0.0,2017.0,9999.0,,,N,Wind,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,,,,,,,,,,,,Wind,60210.0,34.060333,-101.187628,,,,,,,,,0.0,0.0,POINT (-101.187628 34.060333),47.0,48.0,48.0,15.9627257016,8.88067499736,p48,rto8,p60,Wind,,0.0,50.4,5.145326811916407,0.0,0.0,39550.0,0.0,0.0,0,0.0,0,0,0,False,False,False,60210+CPWF,,,,,,,,,,,,,,
18,Old Settler Wind,60366_G_OSWF,60366,G,OSWF,,Onshore Wind,,ERC_PHDL,Texas,48.0,Floyd,153.0,48153.0,151.2,0.0,2017.0,9999.0,,,N,Wind,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,,,,,,,,,,,,Wind,60366.0,34.060333,-101.187628,,,,,,,,,0.0,0.0,POINT (-101.187628 34.060333),47.0,48.0,48.0,15.9627257016,8.88067499736,p48,rto8,p60,Wind,,0.0,151.2,15.43598043574922,0.0,0.0,39550.0,0.0,0.0,0,0.0,0,0,0,False,False,False,60366+OSWF,,,,,,,,,,,,,,
19,Bethel Wind Farm LLC,60414_G_GEN1,60414,G,GEN1,,Onshore Wind,,ERC_PHDL,Texas,48.0,Castro,69.0,48069.0,276.0,0.0,2017.0,9999.0,,,N,Wind,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,,,,,,,,,,,,Wind,60414.0,34.575311,-102.474698,,,,,,,,,0.0,0.0,POINT (-102.474698 34.575311),47.0,48.0,48.0,15.9627257016,8.88067499736,p48,rto8,p60,Wind,,0.0,276.0,28.176789684304136,0.0,0.0,39550.0,0.0,0.0,0,0.0,0,0,0,False,False,False,60414+GEN1,,,,,,,,,,,,,,
20,Astra Wind Farm,60856_G_ASTRA,60856,G,ASTRA,,Onshore Wind,,ERC_PHDL,Texas,48.0,Randall,381.0,48381.0,163.0,0.0,2017.0,9999.0,,,N,Wind,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,,,,,,,,,,,,Wind,60856.0,34.769544,-102.052422,,,,,,,,,0.0,0.0,POINT (-102.052422 34.769544),47.0,48.0,48.0,15.9627257016,8.88067499736,p48,rto8,p60,Wind,,0.0,163.0,16.64064028457092,0.0,0.0,39550.0,0.0,0.0,0,0.0,0,0,0,False,False,False,60856+ASTRA,,,,,,,,,,,,,,
30,Pattern Gulf Wind,56661_G_1,56661,G,1,,Onshore Wind,,ERC_REST,Texas,48.0,Kenedy,261.0,48261.0,283.2,0.0,2008.0,9999.0,,,N,Wind,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,,,,,,,,,,,,Wind,56661.0,27.0011,-97.5994,,,,,,,,,0.0,0.0,POINT (-97.5994 27.0011),64.0,65.0,65.0,51.695295702,9.56289745704,p65,rto10,p65,Wind,,0.0,283.2,28.911836371720764,0.0,0.0,39550.0,0.0,0.0,0,0.0,0,0,0,False,False,False,56661+1,,,,,,,,,,,,,,
31,Penascal Wind Power LLC,56795_G_1,56795,G,1,,Onshore Wind,,ERC_REST,Texas,48.0,Kenedy,261.0,48261.0,201.6,0.0,2009.0,9999.0,,,N,Wind,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,,,,,,,,,,,,Wind,56795.0,27.0702,-97.5077,,,,,,,,,0.0,0.0,POINT (-97.5077 27.0702),64.0,65.0,65.0,51.695295702,9.56289745704,p65,rto10,p65,Wind,,0.0,201.6,20.581307247665627,0.0,0.0,39550.0,0.0,0.0,0,0.0,0,0,0,False,False,False,56795+1,,,,,,,,,,,,,,
32,EC&R Papalote Creek I LLC,56983_G_1,56983,G,1,,Onshore Wind,,ERC_REST,Texas,48.0,San Patricio,409.0,48409.0,180.0,0.0,2009.0,9999.0,,,N,Wind,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,,,,,,,,,,,,Wind,56983.0,27.9386,-97.4586,,,,,,,,,0.0,0.0,POINT (-97.4586 27.9386),64.0,65.0,65.0,51.695295702,9.56289745704,p65,rto10,p65,Wind,,0.0,180.0,18.376167185415742,0.0,0.0,39550.0,0.0,0.0,0,0.0,0,0,0,False,False,False,56983+1,,,,,,,,,,,,,,
33,Penascal II Wind Project LLC,57095_G_1,57095,G,1,,Onshore Wind,,ERC_REST,Texas,48.0,Kenedy,261.0,48261.0,201.0,0.0,2010.0,9999.0,,,N,Wind,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,,,,,,,,,,,,Wind,57095.0,27.1197,-97.5499,,,,,,,,,0.0,0.0,POINT (-97.54989999999999 27.1197),64.0,65.0,65.0,51.695295702,9.56289745704,p65,rto10,p65,Wind,,0.0,201.0,20.520053357047576,0.0,0.0,39550.0,0.0,0.0,0,0.0,0,0,0,False,False,False,57095+1,,,,,,,,,,,,,,
35,EC&R Papalote Creek II LLC,57212_G_1,57212,G,1,,Onshore Wind,,ERC_REST,Texas,48.0,San Patricio,409.0,48409.0,200.1,0.0,2010.0,9999.0,,,N,Wind,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,,,,,,,,,,,,Wind,57212.0,27.9958,-97.2967,,,,,,,,,0.0,0.0,POINT (-97.2967 27.9958),64.0,65.0,65.0,51.695295702,9.56289745704,p65,rto10,p65,Wind,,0.0,200.1,20.428172521120498,0.0,0.0,39550.0,0.0,0.0,0,0.0,0,0,0,False,False,False,57212+1,,,,,,,,,,,,,,
36,Cedro Hill Wind LLC,57260_G_1,57260,G,1,,Onshore Wind,,ERC_REST,Texas,48.0,Webb,479.0,48479.0,150.0,0.0,2010.0,9999.0,,,N,Wind,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,,,,,,,,,,,,Wind,57260.0,27.576111,-98.905278,,,,,,,,,0.0,0.0,POINT (-98.905278 27.576111),64.0,65.0,65.0,51.695295702,9.56289745704,p65,rto10,p65,Wind,,0.0,150.0,15.313472654513117,0.0,0.0,39550.0,0.0,0.0,0,0.0,0,0,0,False,False,False,57260+1,,,,,,,,,,,,,,
37,Hidalgo Wind Farm LLC,57617_G_GEN1,57617,G,GEN1,,Onshore Wind,,ERC_REST,Texas,48.0,Hidalgo,215.0,48215.0,250.0,0.0,2016.0,9999.0,,,N,Wind,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,,,,,,,,,,,,Wind,57617.0,26.465556,-98.411111,,,,,,,,,0.0,0.0,POINT (-98.41111100000001 26.465556),64.0,65.0,65.0,51.695295702,9.56289745704,p65,rto10,p65,Wind,,0.0,250.0,25.522454424188528,0.0,0.0,39550.0,0.0,0.0,0,0.0,0,0,0,False,False,False,57617+GEN1,,,,,,,,,,,,,,
38,Los Vientos Wind 1A,57751_G_1,57751,G,1,,Onshore Wind,,ERC_REST,Texas,48.0,Cameron,61.0,48061.0,200.0,0.0,2012.0,9999.0,,,N,Wind,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,,,,,,,,,,,,Wind,57751.0,26.33072,-97.5857,,,,,,,,,0.0,0.0,POINT (-97.5857 26.33072),64.0,65.0,65.0,51.695295702,9.56289745704,p65,rto10,p65,Wind,,0.0,200.0,20.417963539350822,0.0,0.0,39550.0,0.0,0.0,0,0.0,0,0,0,False,False,False,57751+1,,,,,,,,,,,,,,
39,Los Vientos Wind 1B,57752_G_1,57752,G,1,,Onshore Wind,,ERC_REST,Texas,48.0,Cameron,61.0,48061.0,201.6,0.0,2012.0,9999.0,,,N,Wind,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,,,,,,,,,,,,Wind,57752.0,26.34892,-97.6668,,,,,,,,,0.0,0.0,POINT (-97.66679999999999 26.34892),64.0,65.0,65.0,51.695295702,9.56289745704,p65,rto10,p65,Wind,,0.0,201.6,20.581307247665627,0.0,0.0,39550.0,0.0,0.0,0,0.0,0,0,0,False,False,False,57752+1,,,,,,,,,,,,,,
40,Magic Valley Wind Farm I LLC,57802_G_MV1,57802,G,MV1,,Onshore Wind,,ERC_REST,Texas,48.0,Willacy,489.0,48489.0,203.0,0.0,2012.0,9999.0,,,N,Wind,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,,,,,,,,,,,,Wind,57802.0,26.475278,-97.691111,,,,,,,,,0.0,0.0,POINT (-97.69111100000001 26.475278),64.0,65.0,65.0,51.695295702,9.56289745704,p65,rto10,p65,Wind,,0.0,203.0,20.724232992441085,0.0,0.0,39550.0,0.0,0.0,0,0.0,0,0,0,False,False,False,57802+MV1,,,,,,,,,,,,,,
41,Baffin Wind,57927_G_1,57927,G,1,,Onshore Wind,,ERC_REST,Texas,48.0,Kenedy,261.0,48261.0,188.0,0.0,2014.0,9999.0,,,N,Wind,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,,,,,,,,,,,,Wind,57927.0,27.223056,-97.789167,,,,,,,,,0.0,0.0,POINT (-97.78916700000001 27.223056),64.0,65.0,65.0,51.695295702,9.56289745704,p65,rto10,p65,Wind,,0.0,188.0,19.192885726989775,0.0,0.0,39550.0,0.0,0.0,0,0.0,0,0,0,False,False,False,57927+1,,,,,,,,,,,,,,
44,Whitetail,58021_G_1,58021,G,1,,Onshore Wind,,ERC_REST,Texas,48.0,Webb,479.0,48479.0,92.0,0.0,2012.0,9999.0,,,N,Wind,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,,,,,,,,,,,,Wind,58021.0,27.488056,-99.005278,,,,,,,,,0.0,0.0,POINT (-99.005278 27.488056),64.0,65.0,65.0,51.695295702,9.56289745704,p65,rto10,p65,Wind,,0.0,92.0,9.39226322810138,0.0,0.0,39550.0,0.0,0.0,0,0.0,0,0,0,False,False,False,58021+1,,,,,,,,,,,,,,
48,OCI Alamo Solar I,58537_G_ASTRO,58537,G,ASTRO,,Batteries,,ERC_REST,Texas,48.0,Bexar,29.0,48029.0,1.0,0.0,2016.0,9999.0,,,N,Energy Storage,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,,,,,,,,,,,,Energy Storage,58537.0,29.271667,-98.444722,58537.0,ASTRO,0.3,1,1,Batteries,0.81,0.0,0.0,0.0,POINT (-98.444722 29.271667),64.0,65.0,65.0,51.695295702,9.56289745704,p65,rto10,p65,Energy Storage,,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0,0.0,1,1,0,False,False,False,58537+ASTRO,,,,,,,,,,,,,,
50,Bruennings Breeze Wind Farm,59066_G_MVII,59066,G,MVII,,Onshore Wind,,ERC_REST,Texas,48.0,Willacy,489.0,48489.0,228.0,0.0,2017.0,9999.0,,,N,Wind,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,,,,,,,,,,,,Wind,59066.0,26.522222,-97.691111,,,,,,,,,0.0,0.0,POINT (-97.69111100000001 26.522222),64.0,65.0,65.0,51.695295702,9.56289745704,p65,rto10,p65,Wind,,0.0,228.0,23.27647843485994,0.0,0.0,39550.0,0.0,0.0,0,0.0,0,0,0,False,False,False,59066+MVII,,,,,,,,,,,,,,
51,Cameron Wind 1 LLC,59118_G_CAM1,59118,G,CAM1,,Onshore Wind,,ERC_REST,Texas,48.0,Cameron,61.0,48061.0,165.0,0.0,2015.0,9999.0,,,N,Wind,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,,,,,,,,,,,,Wind,59118.0,26.195278,-97.466111,,,,,,,,,0.0,0.0,POINT (-97.466111 26.195278),64.0,65.0,65.0,51.695295702,9.56289745704,p65,rto10,p65,Wind,,0.0,165.0,16.84481991996443,0.0,0.0,39550.0,0.0,0.0,0,0.0,0,0,0,False,False,False,59118+CAM1,,,,,,,,,,,,,,
52,Chapman Ranch Wind I,59193_G_CHA1,59193,G,CHA1,,Onshore Wind,,ERC_REST,Texas,48.0,Nueces,355.0,48355.0,236.0,0.0,2017.0,9999.0,,,N,Wind,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,,,,,,,,,,,,Wind,59193.0,27.5925,-97.500833,,,,,,,,,0.0,0.0,POINT (-97.500833 27.5925),64.0,65.0,65.0,51.695295702,9.56289745704,p65,rto10,p65,Wind,,0.0,236.0,24.093196976433973,0.0,0.0,39550.0,0.0,0.0,0,0.0,0,0,0,False,False,False,59193+CHA1,,,,,,,,,,,,,,
55,Los Vientos Windpower III,59320_G_GEN1,59320,G,GEN1,,Onshore Wind,,ERC_REST,Texas,48.0,Starr,427.0,48427.0,200.0,0.0,2015.0,9999.0,,,N,Wind,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,,,,,,,,,,,,Wind,59320.0,26.388611,-98.806111,,,,,,,,,0.0,0.0,POINT (-98.806111 26.388611),64.0,65.0,65.0,51.695295702,9.56289745704,p65,rto10,p65,Wind,,0.0,200.0,20.417963539350822,0.0,0.0,39550.0,0.0,0.0,0,0.0,0,0,0,False,False,False,59320+GEN1,,,,,,,,,,,,,,
56,Los Vientos Windpower IV,59321_G_GEN1,59321,G,GEN1,,Onshore Wind,,ERC_REST,Texas,48.0,Starr,427.0,48427.0,200.0,0.0,2016.0,9999.0,,,N,Wind,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,,,,,,,,,,,,Wind,59321.0,26.380556,-98.818333,,,,,,,,,0.0,0.0,POINT (-98.818333 26.380556),64.0,65.0,65.0,51.695295702,9.56289745704,p65,rto10,p65,Wind,,0.0,200.0,20.417963539350822,0.0,0.0,39550.0,0.0,0.0,0,0.0,0,0,0,False,False,False,59321+GEN1,,,,,,,,,,,,,,
